OR4F5	NM_001005484
PLAC8L1	NM_001029869
LARS	NM_020117
RBM27	NM_018989
POU4F3	NM_002700
TCERG1	NM_006706
GPR151	NM_194251
PPP2R2B	NM_181675
STK32A	NM_001287740
DPYSL3	NM_001197294
JAKMIP2	NM_001270941
SPINK1	NM_003122
SCGB3A2	NM_054023
C5orf46	NM_206966
SPINK5	NM_001127698
SPINK14	NM_001001325
SPINK6	NM_001195290
SPINK13	NM_001040129
SPINK7	NM_032566
AC091948.1	ENST00000597116
SPINK9	NM_001040433
FBXO38	NM_030793
HTR4	NM_001040173
ADRB2	NM_000024
SH3TC2	NM_024577
ABLIM3	NM_001301015
AFAP1L1	NM_152406
GRPEL2	NM_152407
PCYOX1L	NM_024028
IL17B	NM_014443
CSNK1A1	NM_001025105
ARHGEF37	NM_001001669
PPARGC1B	NM_133263
PDE6A	NM_000440
SLC26A2	NM_000112
TIGD6	NM_001243253
HMGXB3	NM_014983
CSF1R	NM_005211
PDGFRB	NM_002609
CDX1	NM_001804
SLC6A7	NM_014228
CAMK2A	NM_015981
ARSI	NM_001012301
TCOF1	NM_001135243
CD74	NM_001025159
RPS14	NM_005617
NDST1	NM_001543
SYNPO	NM_001166208
MYOZ3	NM_001122853
RBM22	NM_018047
DCTN4	NM_001135643
AC010441.1	ENST00000600109
SMIM3	NM_032947
IRGM	NM_001145805
ZNF300	NM_001172831
GPX3	NM_002084
TNIP1	NM_001252390
ANXA6	NM_001155
CCDC69	NM_015621
GM2A	NM_000405
SLC36A3	NM_001145017
SLC36A2	NM_181776
SLC36A1	NM_078483
FAT2	NM_001447
SPARC	NM_003118
ATOX1	NM_004045
LOC100652758	NM_001278082
G3BP1	NM_198395
GLRA1	NM_001146040
NMUR2	NM_020167
GRIA1	NM_001258022
FAM114A2	NM_018691
MFAP3	NM_005927
GALNT10	NM_198321
SAP30L	NM_024632
HAND1	NM_004821
LARP1	NM_015315
FAXDC2	NM_032385
CNOT8	NM_004779
GEMIN5	NM_015465
MRPL22	NM_014180
KIF4B	NM_001099293
SGCD	NM_000337
TIMD4	NM_138379
HAVCR1	NM_001173393
HAVCR2	NM_032782
MED7	NM_004270
FAM71B	NM_130899
ITK	NM_005546
CYFIP2	NM_001291722
FNDC9	NM_001001343
NIPAL4	NM_001099287
ADAM19	NM_033274
SOX30	NM_178424
C5orf52	NM_001145132
THG1L	NM_017872
AC026407.1	ENST00000599823
LSM11	NM_173491
CLINT1	NM_001195555
EBF1	NM_001290360
RNF145	NM_001199380
UBLCP1	NM_145049
IL12B	NM_002187
ADRA1B	NM_000679
TTC1	NM_001282500
PWWP2A	NM_001130864
FABP6	NM_001130958
CCNJL	NM_024565
C1QTNF2	NM_031908
C5orf54	ENST00000523213
ZBED8	NM_022090
SLU7	NM_006425
PTTG1	NM_004219
ATP10B	NM_025153
GABRB2	NM_021911
GABRA6	NM_000811
GABRA1	NM_000806
GABRG2	NM_198903
CCNG1	NM_199246
AC112205.1	ENST00000599797
NUDCD2	NM_145266
HMMR	NM_001142556
MAT2B	NM_013283
TENM2	NM_001122679
WWC1	NM_001161661
RARS	NM_002887
FBLL1	ENST00000338333
PANK3	NM_024594
SLIT3	NM_001271946
SPDL1	NM_017785
DOCK2	NM_004946
FAM196B	NM_001129891
FOXI1	NM_012188
C5orf58	NM_001102609
LCP2	NM_005565
KCNMB1	NM_004137
KCNIP1	NM_001278339
GABRP	NM_014211
RANBP17	NM_022897
TLX3	NM_021025
NPM1	NM_002520
FGF18	NM_003862
CTB-78H18.1	ENST00000524175
SMIM23	NM_001289970
FBXW11	NM_012300
STK10	NM_005990
EFCAB9	NM_001171183
UBTD2	NM_152277
SH3PXD2B	NM_001017995
AC027309.1	ENST00000601856
NEURL1B	NM_001142651
LOC101928093	NM_001287812
DUSP1	NM_004417
ERGIC1	NM_001031711
RPL26L1	NM_016093
ATP6V0E1	NM_003945
CREBRF	NM_153607
BNIP1	NM_013979
NKX2-5	NM_004387
STC2	NM_003714
BOD1	NM_138369
CPEB4	NM_030627
C5orf47	NM_001144954
NSG2	ENST00000303177
HMP19	NM_015980
MSX2	NM_002449
DRD1	NM_000794
SFXN1	NM_022754
HRH2	NM_001131055
CPLX2	NM_006650
THOC3	NM_032361
RP11-826N14.2	ENST00000512675
FAM153B	NM_001265615
SIMC1	NM_198567
KIAA1191	NM_001079685
ARL10	NM_173664
NOP16	NM_001256539
HIGD2A	NM_138820
CLTB	NM_007097
FAF2	NM_014613
RNF44	NM_014901
CDHR2	NM_017675
GPRIN1	NM_052899
SNCB	NM_003085
EIF4E1B	NM_001099408
TSPAN17	NM_012171
UNC5A	NM_133369
HK3	NM_002115
UIMC1	NM_001199298
ZNF346	NM_012279
FGFR4	NM_213647
NSD1	NM_022455
RAB24	NM_001031677
PRELID1	NM_013237
MXD3	NM_031300
LMAN2	NM_006816
RGS14	NM_006480
SLC34A1	NM_003052
PFN3	NM_001029886
F12	NM_000505
GRK6	NM_002082
PRR7	NM_030567
DBN1	NM_080881
PDLIM7	NM_005451
DOK3	NM_024872
DDX41	NM_016222
FAM193B	NM_001190946
TMED9	NM_017510
B4GALT7	NM_007255
FAM153A	NM_173663
RP11-1026M7.2	ENST00000502515
PROP1	NM_006261
FAM153C	ENST00000511856
N4BP3	NM_015111
RMND5B	NM_001288794
NHP2	NM_017838
HNRNPAB	NM_031266
PHYKPL	NM_153373
COL23A1	NM_173465
CLK4	NM_020666
ZNF354A	NM_005649
ZNF354B	NM_058230
ZFP2	NM_030613
ZNF454	NM_001178089
GRM6	NM_000843
ZNF879	NM_001136116
ZNF354C	NM_014594
ADAMTS2	NM_014244
RUFY1	NM_025158
HNRNPH1	NM_005520
C5orf60	NM_001142306
AC136604.1	ENST00000425471
CBY3	NM_001164444
CANX	NM_001746
MAML1	NM_014757
LTC4S	NM_145867
MGAT4B	NM_054013
SQSTM1	NM_003900
C5orf45	NM_016175
CTC-241N9.1	ENST00000499601
TBC1D9B	NM_198868
RNF130	NM_018434
RASGEF1C	NM_175062
MAPK9	NM_002752
GFPT2	NM_005110
CNOT6	NM_015455
SCGB3A1	NM_052863
FLT4	NM_182925
OR2Y1	NM_001001657
MGAT1	NM_001114617
ZFP62	NM_001172638
BTNL8	NM_001040462
BTNL3	NM_197975
BTNL9	NM_152547
OR2V1	NM_001258283
OR2V2	NM_206880
TRIM7	NM_203293
TRIM41	NM_033549
GNB2L1	NM_006098
AC008443.1	ENST00000599439
TRIM52	NM_032765
OR4F3	NM_001005224
DUSP22	NM_001286555
IRF4	NM_002460
EXOC2	NM_018303
HUS1B	NM_148959
AL033381.1	ENST00000314040
FOXQ1	NM_033260
FOXF2	NM_001452
FOXC1	NM_001453
GMDS	NM_001500
C6orf195	NM_152554
MYLK4	NM_001012418
WRNIP1	NM_020135
SERPINB1	NM_030666
SERPINB9	NM_004155
SERPINB6	NM_001271823
NQO2	NM_001290221
RIPK1	NM_003804
BPHL	NM_004332
TUBB2A	NM_001069
TUBB2B	NM_178012
PSMG4	NM_001128592
SLC22A23	NM_015482
PXDC1	NM_183373
FAM50B	NM_012135
C6ORF50	ENST00000356722
PRPF4B	NM_003913
FAM217A	NM_173563
C6orf201	NM_001085401
ECI2	NM_206836
CDYL	NM_004824
RPP40	NM_006638
PPP1R3G	NM_001145115
LYRM4	NM_001164840
FARS2	NM_006567
NRN1	NM_001278711
F13A1	NM_000129
LY86	NM_004271
RREB1	NM_001003699
SSR1	NM_003144
CAGE1	NM_001170692
RIOK1	NM_031480
DSP	NM_004415
SNRNP48	NM_152551
BMP6	NM_001718
TXNDC5	NM_030810
BLOC1S5-TXNDC5	ENST00000439343
BLOC1S5	NM_201280
EEF1E1-BLOC1S5	ENST00000397456
EEF1E1	NM_004280
SLC35B3	NM_015948
OFCC1	ENST00000492094
TFAP2A	NM_003220
GCNT2	NM_145649
GCNT6	ENST00000417671
C6orf52	NM_001145020
PAK1IP1	NM_017906
TMEM14C	NM_001165258
TMEM14B	NM_001286488
RP11-637O19.3	ENST00000480294
MAK	NM_001242957
GCM2	NM_004752
SYCP2L	NM_001040274
ELOVL2	NM_017770
SMIM13	NM_001135575
ERVFRD-1	NM_207582
NEDD9	NM_001142393
TMEM170B	NM_001100829
ADTRP	NM_001143948
HIVEP1	NM_002114
EDN1	NM_001955
PHACTR1	NM_030948
LOC100130357	NM_001242698
TBC1D7	NM_016495
GFOD1	NM_018988
AL583828.1	ENST00000558378
SIRT5	NM_012241
NOL7	NM_016167
AL441883.1	ENST00000600057
RANBP9	NM_005493
MCUR1	NM_001031713
RNF182	NM_152737
CD83	NM_004233
JARID2	NM_004973
DTNBP1	NM_032122
MYLIP	NM_013262
GMPR	NM_006877
ATXN1	NM_000332
STMND1	NM_001190766
RBM24	NM_001143942
CAP2	NM_006366
FAM8A1	NM_016255
NUP153	NM_001278209
KIF13A	NM_022113
NHLRC1	NM_198586
TPMT	NM_000367
KDM1B	NM_153042
DEK	NM_003472
RNF144B	NM_182757
ID4	NM_001546
MBOAT1	NM_001080480
E2F3	NM_001949
CDKAL1	NM_017774
SOX4	NM_003107
PRL	NM_000948
HDGFL1	NM_138574
NRSN1	NM_080723
DCDC2	NM_001195610
KAAG1	NM_181337
MRS2	NM_001286264
GPLD1	NM_001503
ALDH5A1	NM_001080
KIAA0319	NM_001168375
TDP2	NM_016614
ACOT13	NM_018473
C6orf62	NM_030939
GMNN	NM_001251991
C6orf229	NM_001282492
FAM65B	NM_014722
LRRC16A	NM_017640
SCGN	NM_006998
HIST1H2AA	NM_170745
HIST1H2BA	NM_170610
SLC17A4	NM_005495
SLC17A1	NM_005074
SLC17A3	NM_001098486
SLC17A2	NM_001286123
TRIM38	NM_006355
HIST1H1A	NM_005325
HIST1H3A	NM_003529
HIST1H4A	NM_003538
HIST1H4B	NM_003544
HIST1H3B	NM_003537
HIST1H2AB	NM_003513
HIST1H2BB	NM_021062
HIST1H3C	NM_003531
HIST1H1C	NM_005319
HFE	NM_000410
HIST1H4C	NM_003542
HIST1H1T	NM_005323
HIST1H2BC	NM_003526
HIST1H2AC	NM_003512
HIST1H1E	NM_005321
HIST1H2BD	NM_021063
HIST1H2BE	NM_003523
HIST1H4D	NM_003539
HIST1H3D	NM_003530
HIST1H2AD	NM_021065
HIST1H2BF	NM_003522
HIST1H4E	NM_003545
HIST1H2BG	NM_003518
HIST1H2AE	NM_021052
HIST1H3E	NM_003532
HIST1H1D	NM_005320
HIST1H4F	NM_003540
HIST1H4G	NM_003547
HIST1H3F	NM_021018
HIST1H2BH	NM_003524
HIST1H3G	NM_003534
HIST1H2BI	NM_003525
HIST1H4H	NM_003543
BTN3A2	NM_001197246
BTN2A2	NM_006995
BTN3A1	NM_007048
BTN3A3	NM_006994
BTN2A1	NM_007049
BTN1A1	NM_001732
HMGN4	NM_006353
ABT1	NM_013375
ZNF322	NM_001242799
HIST1H2BJ	NM_021058
HIST1H2AG	NM_021064
HIST1H4I	NM_003495
HIST1H2BK	NM_080593
HIST1H2AH	NM_080596
PRSS16	NM_005865
POM121L2	NM_033482
ZNF391	NM_001076781
ZNF184	NM_007149
HIST1H2BL	NM_003519
HIST1H2AI	NM_003509
HIST1H3H	NM_003536
HIST1H2AJ	NM_021066
HIST1H2BM	NM_003521
HIST1H4J	NM_021968
HIST1H4K	NM_003541
HIST1H2AK	NM_003510
HIST1H2BN	NM_003520
HIST1H2AL	NM_003511
HIST1H1B	NM_005322
HIST1H3I	NM_003533
HIST1H4L	NM_003546
HIST1H3J	NM_003535
HIST1H2AM	NM_003514
HIST1H2BO	NM_003527
OR2B2	NM_033057
OR2B6	NM_012367
ZNF165	NM_003447
ZSCAN16	NM_025231
ZKSCAN8	NM_001278119
ZSCAN9	NM_001199479
ZKSCAN4	NM_019110
NKAPL	NM_001007531
ZSCAN26	NM_001023560
PGBD1	NM_001184743
ZSCAN31	NM_001135216
ZKSCAN3	NM_024493
ZSCAN12	NM_001163391
ZSCAN23	NM_001012455
GPX6	NM_182701
GPX5	NM_001509
SCAND3	ENST00000452236
ZBED9	NM_052923
TRIM27	NM_006510
C6orf100	ENST00000377186
ZNF311	NM_001010877
OR2W1	NM_030903
LOC100129636	NM_001195202
OR2B3	NM_001005226
OR2J1	ENST00000377171
OR2J3	NM_001005216
OR2J2	NM_030905
OR14J1	NM_030946
OR5V1	NM_030876
OR12D3	NM_030959
OR12D2	NM_013936
OR11A1	NM_013937
OR10C1	NM_013941
OR2H1	NM_030883
MAS1L	NM_052967
UBD	NM_006398
OR2H2	NM_007160
GABBR1	NM_001470
MOG	NM_002433
ZFP57	NM_001109809
HLA-F	NM_001098479
LOC554223	NM_001207043
HLA-G	NM_002127
HLA-A	NM_002116
ZNRD1	NM_170783
PPP1R11	NM_021959
RNF39	NM_025236
TRIM31	NM_007028
TRIM40	NM_001286633
TRIM10	NM_006778
TRIM15	NM_033229
TRIM26	NM_001242783
TRIM39	NM_021253
TRIM39-RPP21	NM_001199119
RPP21	NM_001199120
HLA-E	NM_005516
GNL1	NM_005275
PRR3	NM_025263
ABCF1	NM_001025091
PPP1R10	NM_002714
MRPS18B	NM_014046
ATAT1	NM_001031722
C6orf136	NM_001161376
DHX16	NM_003587
PPP1R18	NM_001134870
NRM	NM_001270707
MDC1	NM_014641
TUBB	NM_001293212
FLOT1	NM_005803
IER3	NM_003897
DDR1	NM_013994
GTF2H4	NM_001517
VARS2	NM_001167734
SFTA2	NM_205854
DPCR1	NM_080870
MUC21	NM_001010909
MUC22	NM_001198815
C6orf15	NM_014070
CDSN	NM_001264
PSORS1C1	NM_014068
PSORS1C2	NM_014069
CCHCR1	NM_001105564
TCF19	NM_001077511
POU5F1	NM_002701
HCG27	ENST00000383331
HLA-C	NM_002117
HLA-B	NM_005514
MICA	NM_000247
MICB	NM_005931
MCCD1	NM_001011700
DDX39B	NM_004640
ATP6V1G2-DDX39B	ENST00000376185
ATP6V1G2	NM_130463
NFKBIL1	NM_005007
LTA	NM_001159740
TNF	NM_000594
LTB	NM_002341
LST1	NM_007161
NCR3	NM_147130
AIF1	NM_001623
PRRC2A	NM_004638
BAG6	NM_004639
APOM	NM_019101
C6orf47	NM_021184
GPANK1	NM_033177
CSNK2B	NM_001320
CSNK2B-LY6G5B-1181	ENST00000375880
LY6G5B	NM_021221
LY6G5C	NM_025262
ABHD16A	NM_021160
MEGT1	ENST00000503322
LY6G6F	NM_001003693
XXbac-BPG32J3.20	ENST00000461287
LY6G6E	ENST00000383418
LY6G6D	NM_021246
LY6G6C	NM_025261
C6orf25	NM_138272
DDAH2	NM_013974
CLIC1	NM_001287594
MSH5	NM_172165
MSH5-SAPCD1	ENST00000493662
SAPCD1	NM_001039651
VWA7	NM_025258
VARS	NM_006295
LSM2	NM_021177
HSPA1L	NM_005527
HSPA1A	NM_005345
HSPA1B	NM_005346
C6orf48	NM_001040438
NEU1	NM_000434
SLC44A4	NM_025257
EHMT2	NM_006709
ZBTB12	NM_181842
C2	NM_000063
CFB	NM_001710
NELFE	NM_002904
SKIV2L	NM_006929
DXO	NM_005510
STK19	NM_032454
C4A	NM_007293
C4B	NM_001002029
C4B_2	NM_001242823
CYP21A2	NM_000500
AL645922.1	ENST00000594256
TNXB	NM_019105
ATF6B	NM_004381
FKBPL	NM_022110
PRRT1	NM_030651
PPT2	NM_138717
PPT2-EGFL8	ENST00000428388
EGFL8	NM_030652
AGPAT1	NM_032741
RNF5	NM_006913
AGER	NM_001206929
PBX2	NM_002586
GPSM3	NM_001276501
NOTCH4	NM_004557
C6orf10	NM_001286474
BTNL2	NM_019602
HLA-DRA	NM_019111
HLA-DRB5	NM_002125
HLA-DRB1	NM_001243965
HLA-DQA1	NM_002122
HLA-DQB1	NM_001243961
HLA-DQA2	NM_020056
HLA-DQB2	NM_001300790
HLA-DOB	NM_002120
TAP2	NM_018833
PSMB8	NM_148919
TAP1	NM_000593
PSMB9	NM_002800
HLA-DMB	NM_002118
XXbac-BPG181M17.5	ENST00000429234
HLA-DMA	NM_006120
BRD2	NM_001199455
HLA-DOA	NM_002119
HLA-DPA1	NM_001242524
HLA-DPB1	NM_002121
COL11A2	NM_080680
RXRB	NM_001270401
SLC39A7	NM_001077516
HSD17B8	NM_014234
RING1	NM_002931
VPS52	NM_022553
RPS18	NM_022551
B3GALT4	NM_003782
WDR46	NM_005452
PFDN6	NM_001265596
RGL2	NM_004761
TAPBP	NM_172208
ZBTB22	NM_005453
DAXX	NM_001141970
KIFC1	NM_002263
PHF1	NM_024165
CUTA	NM_001014433
SYNGAP1	NM_006772
ZBTB9	NM_152735
BAK1	NM_001188
GGNBP1	ENST00000374458
ITPR3	NM_002224
SBP1	ENST00000594414
UQCC2	NM_032340
IP6K3	NM_001142883
LEMD2	NM_181336
MLN	NM_002418
GRM4	NM_000841
HMGA1	NM_145901
C6orf1	NM_001287396
NUDT3	NM_006703
RPS10-NUDT3	NM_001202470
RPS10	NM_001014
PACSIN1	NM_020804
SPDEF	NM_012391
C6orf106	NM_024294
SNRPC	NM_003093
UHRF1BP1	NM_017754
TAF11	NM_005643
ANKS1A	NM_015245
TCP11	NM_001093728
SCUBE3	NM_152753
ZNF76	NM_003427
DEF6	NM_022047
PPARD	NM_006238
FANCE	NM_021922
RPL10A	NM_007104
TEAD3	NM_003214
TULP1	NM_003322
FKBP5	NM_004117
ARMC12	NM_145028
CLPSL2	NM_001286550
CLPSL1	NM_001010886
CLPS	NM_001832
LHFPL5	NM_182548
SRPK1	NM_003137
SLC26A8	NM_001193476
MAPK14	NM_139012
MAPK13	NM_002754
BRPF3	NM_015695
PNPLA1	NM_001145717
C6orf222	NM_001010903
ETV7	NM_016135
PXT1	NM_152990
KCTD20	NM_173562
STK38	NM_007271
SRSF3	NM_003017
CDKN1A	NM_001291549
RAB44	NM_001257357
CPNE5	NM_020939
PPIL1	NM_016059
C6orf89	NM_152734
PI16	NM_001199159
MTCH1	NM_001271641
FGD2	NM_173558
COX6A1P2	ENST00000423336
PIM1	NM_001243186
TMEM217	NM_145316
TBC1D22B	NM_017772
RNF8	NM_003958
CMTR1	NM_015050
CCDC167	NM_138493
MDGA1	NM_153487
ZFAND3	NM_021943
BTBD9	NM_052893
GLO1	NM_006708
DNAH8	ENST00000359357
GLP1R	NM_002062
SAYSD1	NM_018322
KCNK5	NM_003740
KCNK17	NM_031460
KCNK16	NM_032115
KIF6	NM_145027
DAAM2	NM_001201427
MOCS1	NM_005943
LRFN2	NM_020737
UNC5CL	NM_173561
TSPO2	NM_001159726
APOBEC2	NM_006789
OARD1	NM_145063
NFYA	NM_002505
TREML1	NM_178174
TREM2	NM_018965
TREML2	NM_024807
TREML4	NM_198153
TREM1	NM_018643
NCR2	NM_001199509
FOXP4	NM_001012426
MDFI	NM_005586
TFEB	NM_001167827
AL035588.1	ENST00000597468
PGC	NM_002630
FRS3	NM_006653
PRICKLE4	NM_013397
TOMM6	NM_001134493
USP49	NM_001286554
MED20	NM_004275
BYSL	NM_004053
CCND3	NM_001760
TAF8	NM_138572
C6orf132	NM_001164446
RP1-139D8.6	ENST00000372963
GUCA1A	NM_000409
GUCA1B	NM_002098
MRPS10	NM_018141
TRERF1	NM_001297573
UBR2	NM_015255
PRPH2	NM_000322
TBCC	NM_003192
GLTSCR1L	NM_015349
RPL7L1	NM_198486
C6orf226	NM_001008739
PTCRA	NM_001243168
CNPY3	NM_006586
GNMT	NM_018960
PEX6	NM_000287
PPP2R5D	NM_006245
MEA1	NM_014623
KLHDC3	NM_057161
RRP36	NM_033112
CUL7	NM_001168370
MRPL2	NM_015950
KLC4	NM_201523
PTK7	NM_001270398
SRF	NM_003131
CUL9	NM_015089
DNPH1	NM_006443
TTBK1	NM_032538
SLC22A7	NM_153320
CRIP3	NM_206922
ZNF318	NM_014345
ABCC10	NM_001198934
DLK2	NM_206539
TJAP1	NM_001146017
LRRC73	NM_001012974
YIPF3	NM_015388
POLR1C	NM_203290
XPO5	NM_020750
POLH	NM_006502
GTPBP2	NM_019096
MAD2L1BP	NM_001003690
RSPH9	NM_001193341
MRPS18A	NM_018135
VEGFA	NM_001025366
C6orf223	NM_153246
MRPL14	NM_032111
TMEM63B	NM_018426
CAPN11	NM_007058
SLC29A1	NM_004955
HSP90AB1	NM_001271969
SLC35B2	NM_178148
NFKBIE	NM_004556
TMEM151B	NM_001137560
RP11-444E17.6	ENST00000505802
TCTE1	NM_182539
AARS2	NM_020745
SPATS1	NM_145026
CDC5L	NM_001253
AL133262.1	ENST00000595057
SUPT3H	NM_181356
RUNX2	NM_001024630
CLIC5	NM_001114086
ENPP4	NM_014936
ENPP5	NM_021572
RCAN2	NM_001251974
CYP39A1	NM_016593
SLC25A27	NM_004277
TDRD6	NM_001010870
PLA2G7	NM_005084
ANKRD66	NM_001162435
MEP1A	NM_005588
GPR116	NM_015234
GPR110	NM_153840
TNFRSF21	NM_014452
CD2AP	NM_012120
GPR111	NM_153839
GPR115	NM_153838
OPN5	NM_181744
PTCHD4	NM_001013732
MUT	NM_000255
CENPQ	NM_018132
GLYATL3	NM_001010904
C6orf141	NM_001145652
RHAG	NM_000324
CRISP2	NM_001142408
CRISP3	NM_001190986
PGK2	NM_138733
CRISP1	NM_001131
DEFB133	NM_001166478
DEFB114	NM_001037499
DEFB113	NM_001037729
DEFB110	NM_001037497
DEFB112	NM_001037498
TFAP2D	NM_172238
TFAP2B	NM_003221
PKHD1	NM_138694
IL17A	NM_002190
IL17F	NM_052872
MCM3	NM_002388
PAQR8	NM_133367
EFHC1	NM_018100
TRAM2	NM_012288
TMEM14A	NM_014051
GSTA2	NM_000846
GSTA1	NM_145740
GSTA5	NM_153699
GSTA3	NM_000847
GSTA4	NM_001512
ICK	NM_014920
FBXO9	NM_033480
GCM1	NM_003643
ELOVL5	NM_001242828
GCLC	NM_001498
KLHL31	NM_001003760
LRRC1	NM_018214
MLIP	NM_001281747
TINAG	NM_014464
FAM83B	NM_001010872
HCRTR2	NM_001526
GFRAL	NM_207410
HMGCLL1	NM_019036
BMP5	NM_021073
COL21A1	NM_030820
DST	NM_001144769
BEND6	NM_152731
KIAA1586	NM_020931
ZNF451	NM_001031623
BAG2	NM_004282
RAB23	NM_016277
PRIM2	NM_000947
MTRNR2L9	NM_001190706
KHDRBS2	NM_152688
FKBP1C	ENST00000370659
LGSN	NM_016571
PTP4A1	NM_003463
PHF3	NM_015153
EYS	NM_001292009
LOC441155	NM_001271675
BAI3	NM_001704
LMBRD1	NM_018368
COL19A1	NM_001858
COL9A1	NM_001851
FAM135A	NM_001162529
C6orf57	NM_145267
SMAP1	NM_001044305
B3GAT2	NM_080742
OGFRL1	NM_024576
RIMS1	NM_014989
KCNQ5	NM_001160133
KHDC1L	NM_001126063
RP11-257K9.8	ENST00000423730
KHDC1	NM_001251874
DPPA5	NM_001025290
KHDC3L	NM_001017361
OOEP	NM_001080507
DDX43	NM_018665
MB21D1	NM_138441
MTO1	NM_001123226
EEF1A1	NM_001402
SLC17A5	NM_012434
CD109	NM_133493
COL12A1	NM_004370
COX7A2	NM_001865
TMEM30A	NM_018247
FILIP1	NM_001289987
SENP6	NM_015571
MYO6	NM_004999
IMPG1	NM_001563
HTR1B	NM_000863
MEI4	NM_001282136
IRAK1BP1	NM_001010844
PHIP	NM_017934
HMGN3	NM_001201363
LCA5	NM_181714
SH3BGRL2	NM_031469
C6orf7	NM_001243308
ELOVL4	NM_022726
TTK	NM_003318
BCKDHB	NM_000056
AL359693.1	ENST00000597800
FAM46A	NM_017633
IBTK	NM_015525
TPBG	NM_001166392
UBE3D	NM_198920
AL139333.1	ENST00000398400
DOPEY1	NM_001199942
PGM3	NM_001199917
RWDD2A	NM_033411
ME1	NM_002395
PRSS35	NM_153362
SNAP91	NM_001242792
RIPPLY2	NM_001009994
CYB5R4	NM_016230
MRAP2	NM_138409
CEP162	NM_014895
KIAA1009	ENST00000403245
TBX18	NM_001080508
NT5E	NM_002526
SNX14	NM_153816
RP11-321N4.5	ENST00000503906
SYNCRIP	NM_006372
HTR1E	NM_000865
CGA	NM_001252383
ZNF292	NM_015021
GJB7	NM_198568
RP1-102H19.8	ENST00000448282
SMIM8	NM_020425
C6orf163	NM_001010868
C6orf164	ENST00000369570
C6ORF165	ENST00000369562
C6orf165	NM_001031743
SLC35A1	NM_006416
RARS2	NM_020320
ORC3	NM_181837
AKIRIN2	NM_018064
SPACA1	NM_030960
CNR1	NM_001160259
RNGTT	NM_003800
AL079342.1	ENST00000369474
PNRC1	NM_006813
SRSF12	NM_080743
PM20D2	NM_001010853
GABRR1	NM_002042
GABRR2	NM_002043
UBE2J1	NM_016021
RRAGD	NM_021244
ANKRD6	NM_001242809
LYRM2	NM_020466
MDN1	NM_014611
CASP8AP2	NM_001137668
GJA10	NM_032602
BACH2	NM_001170794
MAP3K7	NM_145331
EPHA7	NM_004440
MANEA	NM_024641
FUT9	NM_006581
UFL1	NM_015323
FHL5	NM_001170807
GPR63	NM_030784
NDUFAF4	NM_014165
KLHL32	NM_052904
MMS22L	NM_198468
POU3F2	NM_005604
FBXL4	NM_001278716
FAXC	NM_032511
COQ3	NM_017421
PNISR	NM_032870
USP45	NM_001080481
TSTD3	NM_001195131
CCNC	NM_005190
PRDM13	NM_021620
MCHR2	NM_001040179
SIM1	NM_005068
ASCC3	NM_006828
GRIK2	NM_021956
HACE1	NM_020771
LIN28B	NM_001004317
BVES	NM_147147
POPDC3	NM_022361
PREP	NM_002726
PRDM1	NM_001198
ATG5	NM_004849
AIM1	NM_001624
RTN4IP1	NM_032730
QRSL1	NM_018292
C6orf203	NM_001142470
BEND3	NM_001080450
PDSS2	NM_020381
SOBP	NM_018013
SCML4	NM_198081
SEC63	NM_007214
OSTM1	NM_014028
NR2E1	NM_001286102
SNX3	NM_003795
LACE1	NM_145315
FOXO3	NM_201559
ARMC2	NM_032131
SESN1	NM_014454
CEP57L1	NM_001083535
LOC100996634	NM_001277339
CD164	NM_001142403
PPIL6	NM_001111298
SMPD2	NM_003080
MICAL1	NM_001286613
ZBTB24	NM_014797
AK9	NM_001145128
FIG4	NM_014845
GPR6	NM_001286099
WASF1	NM_003931
CDC40	NM_015891
METTL24	NM_001123364
DDO	NM_003649
SLC22A16	NM_033125
CDK19	NM_015076
AMD1	NM_001634
GTF3C6	NM_138408
RPF2	NM_032194
SLC16A10	NM_018593
KIAA1919	NM_153369
REV3L	NM_002912
TRAF3IP2	NM_147686
FYN	NM_002037
WISP3	NM_198239
TUBE1	NM_016262
FAM229B	NM_001033564
LAMA4	NM_001105206
RFPL4B	NM_001013734
MARCKS	NM_002356
HDAC2	NM_001527
HS3ST5	NM_153612
FRK	NM_002031
NT5DC1	NM_152729
COL10A1	NM_000493
AL121963.1	ENST00000430695
TSPYL4	NM_021648
TSPYL1	NM_003309
DSE	NM_013352
FAM26F	NM_001010919
TRAPPC3L	NM_001139444
FAM26E	NM_153711
FAM26D	NM_001256888
RWDD1	NM_015952
RSPH4A	NM_001010892
ZUFSP	NM_145062
KPNA5	NM_002269
FAM162B	NM_001085480
GPRC6A	NM_148963
RFX6	NM_173560
VGLL2	NM_182645
ROS1	NM_002944
DCBLD1	NM_173674
GOPC	NM_020399
NUS1	NM_138459
SLC35F1	NM_001029858
CEP85L	NM_001178035
PLN	NM_002667
MCM9	NM_017696
ASF1A	NM_014034
FAM184A	NM_024581
MAN1A1	NM_005907
TBC1D32	NM_152730
GJA1	NM_000165
HSF2	NM_004506
SERINC1	NM_020755
PKIB	NM_001270394
FABP7	NM_001446
SMPDL3A	NM_006714
CLVS2	NM_001010852
TRDN	NM_006073
NKAIN2	NM_001040214
RNF217	NM_001286398
TPD52L1	NM_003287
HDDC2	NM_016063
HEY2	NM_012259
NCOA7	NM_001199620
HINT3	NM_138571
TRMT11	NM_001031712
CENPW	NM_001286524
RSPO3	NM_032784
